Epoch,Mean,Std,Min,Max,Validity,Uniqueness,Novelty,Diversity,Time
76,0.775,0.118,0.220,0.943,0.28966,0.87344,0.99367,0.86537,1.7
77,0.773,0.125,0.000,0.942,0.29417,0.87913,0.99187,0.86395,1.7
78,0.775,0.120,0.289,0.939,0.29798,0.86924,0.98840,0.86351,1.7
79,0.771,0.120,0.272,0.944,0.30228,0.87840,0.99170,0.86487,1.7
80,0.772,0.120,0.277,0.942,0.31210,0.84820,0.99168,0.86486,1.7
81,0.775,0.118,0.219,0.945,0.31090,0.85245,0.99206,0.86326,1.8
82,0.776,0.118,0.282,0.948,0.31550,0.86857,0.99086,0.86481,1.8
83,0.775,0.120,0.000,0.938,0.32051,0.84656,0.99262,0.86469,1.8
84,0.775,0.119,0.000,0.942,0.33694,0.84602,0.99227,0.86425,1.8
85,0.776,0.117,0.000,0.944,0.33964,0.84459,0.99337,0.86291,1.8
86,0.774,0.120,0.217,0.939,0.34235,0.84172,0.99374,0.86227,1.9
87,0.771,0.119,0.166,0.945,0.35196,0.82982,0.99177,0.86374,1.9
88,0.770,0.121,0.250,0.939,0.34996,0.82742,0.99066,0.86319,1.9
89,0.774,0.119,0.000,0.935,0.36208,0.81687,0.99052,0.86186,1.9
90,0.774,0.121,0.000,0.943,0.35216,0.80745,0.99155,0.86229,1.9
91,0.773,0.120,0.000,0.946,0.36609,0.81614,0.99128,0.86200,2.0
92,0.770,0.122,0.000,0.942,0.35857,0.79078,0.99223,0.86070,2.0
93,0.776,0.117,0.250,0.941,0.35266,0.80375,0.99152,0.86220,2.0
94,0.777,0.117,0.000,0.943,0.36949,0.79913,0.99084,0.86206,2.0
95,0.777,0.115,0.324,0.942,0.37510,0.77437,0.99172,0.86156,2.0
96,0.773,0.119,0.261,0.940,0.37069,0.79033,0.99248,0.86187,2.0
97,0.771,0.120,0.201,0.947,0.38161,0.77402,0.98983,0.86125,2.1
98,0.772,0.121,0.251,0.940,0.38942,0.77984,0.99175,0.86190,2.1
99,0.770,0.121,0.000,0.940,0.38942,0.76749,0.99129,0.86265,2.1
100,0.769,0.120,0.000,0.938,0.40485,0.76225,0.99124,0.86079,2.1
